,UMLS_CUI,synonyms,root
15,C0037011,"Pain in shoulder,Pain in unspecified shoulder,Shoulder pain,Shoulder pain (finding),Shoulder region pain",Shoulder pain
16,C0013404,"Breathless,Breathlessness,DIB - Difficulty in breathing,Difficulty breathing,Difficulty breathing (finding),Dyspnea,Dyspnea,Dyspnea (finding),Dyspnea, unspecified,Dyspnoea,Respiration difficult,SOB - Shortness of breath,Shortness of breath,Shortness of breath",Dyspnea
17,C0011991,"D - Diarrhea,D - Diarrhoea,Diarrhea,Diarrhea (finding),Diarrhea NOS,Diarrhea symptom,Diarrhea symptom (finding),Diarrhea, unspecified,Diarrhoea,Diarrhoea symptom,Observation of diarrhea,Observation of diarrhoea",Diarrhea
18,C0012833,"Dizziness,Dizziness (finding),Dizzy",Dizziness
19,C0086839,"Postpartum,Postpartum (qualifier value),Postpartum period,Postpartum state,Postpartum state (finding),Puerperal,Puerperium",Postpartum state
20,C0030252,"Palpitations,Palpitations,Palpitations (finding)",Palpitations
21,C0032739,"Mantoux: positive,Mantoux: positive (finding),PPD positive,Positive PPD",Mantoux: positive
22,C0015967,"Body temperature above reference range,Body temperature above reference range (finding),Febrile,Fever,Fever (finding),Fever NOS,Fever, unspecified,Has a temperature,High body temperature,Hyperthermia,Increased body temperature,Pyrexia,Pyrexia NOS,Pyrexial,Temperature elevated,Temperature raised",Fever
23,C0456128,"Baby full term maturity,Term infant,Term infant (finding)",Term infant
24,C0042024,"Absence of bladder continence,Bladder incontinence,Bladder: incontinent,Incontinence of urine,Involuntary urination,Lack of bladder control,Leaking of urine,Loss of bladder control,UI - Urinary incontinence,Unable to control bladder,Unable to hold fluids,Unable to hold urine,Unable to prevent bladder emptying,Unspecified urinary incontinence,Urinary incontinence,Urinary incontinence (finding),Urine incontinence,Weak bladder",Urinary incontinence
25,C0036572,"Convulsion,Fit,Fit - convulsion,Fitting,Seizure,Seizure (finding)",Seizure
26,C0424671,"BMI 30+ - obesity,Body mass index 30+ - obesity,Body mass index 30+ - obesity (finding)",Body mass index 30+ - obesity
27,C0024103,"Breast irregular nodularity,Breast lump,Breast lump (finding),Breast mass,Lumpy breast,Lumpy breasts,Mass in breast,Unspecified lump in breast",Breast lump
28,C0476427,"Abnormal Papanicolaou smear of cervix NOS,Abnormal cervical Papanicolaou smear,Abnormal cervical Papanicolaou smear (finding),Abnormal cervical smear,Abnormal cervical smear (finding)",Abnormal cervical smear
29,C0476427,"Abnormal Papanicolaou smear of cervix NOS,Abnormal cervical Papanicolaou smear,Abnormal cervical Papanicolaou smear (finding),Abnormal cervical smear,Abnormal cervical smear (finding)",Abnormal cervical Papanicolaou smear
30,C0023222,"Pain in lower limb,Pain in lower limb (finding),Pain in lower limb NOS,Pain in unspecified lower leg",Pain in lower limb
31,C0042571,"Feel I'm spinning round,Rotary vertigo,Rotation of self,Rotatory vertigo,Subjective vertigo,Subjective vertigo (finding),Vertigo,Vertigo (finding),Vertigo (spinning sensation),Vertigo NOS",Vertigo
32,C0457949,"CLBP - Chronic low back pain,Chronic low back pain,Chronic low back pain (finding)",Chronic low back pain
33,C0013604,"Dropsy,Edema,Edema,Edema (finding),Edema (morphologic abnormality),Edema - lesion,Edema, unspecified,Edematous,Hydrops,Hydrops (morphologic abnormality),Interstitial edema,Interstitial oedema,Oedema,Oedema,Oedema - lesion,Oedematous",Edema
34,C0019559,"Arthralgia of hip,Hip joint pain,Hip pain,Hip pain (finding),Pain in hip,Pain in unspecified hip",Hip pain
35,C4509972,"Requires vaccination,Requires vaccination (finding)",Requires vaccination
36,C0262384,"Atypical chest pain,Atypical chest pain (finding)",Atypical chest pain
37,C0018808,"Cardiac murmur, unspecified,Finding of heart murmur,Heart murmur,Heart murmur,Heart murmur (finding),Heart murmur (observable entity),Heart murmur NOS,Murmur,Murmur (finding),Observation of heart murmur",Heart murmur
38,C0151766,"Abnormal results of liver function studies,Abnormal results of liver function studies,Liver function tests abnormal,Liver function tests abnormal (finding)",Liver function tests abnormal
39,C0567312,"Menopause,Menopause present,Menopause present (finding)",Menopause present
40,C0040460,"Dentagra,Dentalgia,Odontalgia,Pain in tooth,Toothache,Toothache (finding),Toothache NOS",Toothache
41,C0178415,"Elevated PSA,Elevated prostate specific antigen [PSA],Elevated prostate specific antigen [PSA],Raised PSA,Raised prostate specific antigen,Raised prostate specific antigen (finding)",Raised prostate specific antigen
42,C0337664,"Smoker,Smoker (finding)",Smoker
43,C0156404,"Irregular menstrual bleeding,Irregular menstrual cycle,Irregular menstruation,Irregular menstruation, unspecified,Irregular periods,Irregular periods (finding),Irregular periods NOS,Irregular uterine bleeding,Menstrual periods irregular,Variable menstrual cycle",Irregular periods
44,C0040264,"Noise in ears,Noises in ear,Noises in ear (finding),Noises in head,Observation of tinnitus,Ringing in ear,Ringing in ear (finding),Ringing in ears,Tinnitus,Tinnitus,Tinnitus (finding),Tinnitus, unspecified ear",Tinnitus
45,C0242429,"Pain in the pharynx,Pain in throat,Pain in throat,Pain in throat (finding),Pharyngeal pain,Sore throat,Sore throat symptom,Sore throat symptom (finding),Throat discomfort,Throat pain,Throat soreness",Sore throat symptom
46,C0016512,"Foot pain,Foot pain (finding)",Foot pain
47,C0232493,"Epigastric pain,Epigastric pain,Epigastric pain (finding)",Epigastric pain
48,C1262477,"Losing weight,Progressive weight loss,Weight decreased,Weight decreased (finding),Weight decreasing,Weight decreasing (finding),Weight loss,Weight loss (finding)",Weight decreased
49,C2733146,"Type 2 diabetes mellitus uncontrolled,Type II diabetes mellitus poorly controlled,Type II diabetes mellitus uncontrolled,Type II diabetes mellitus uncontrolled (finding)",Type II diabetes mellitus uncontrolled
50,C0025323,"Flooding during periods,Heavy menstrual bleeding,Heavy period,Heavy periods,Heavy periods NOS,Hypermenorrhea,Hypermenorrhoea,Menorrhagia,Menorrhagia (finding),Menorrhagia NOS,Profuse menstrual flow",Menorrhagia
51,C0003862,"Arthralgia,Articular pain,Joint pain,Joint pain (finding),Pain in joint,Painful joint",Joint pain
52,C0281856,"Generalised aches and pains,Generalised body aches,Generalised pain,Generalized aches and pains,Generalized aches and pains (finding),Generalized body aches,Generalized pain,Generalized pain NOS",Generalized aches and pains
53,C0423658,"Ankle and/or foot joint pain,Arthralgia of the ankle and foot,Arthralgia of the ankle and/or foot,Arthralgia of the ankle and/or foot (finding)",Arthralgia of the ankle and/or foot
54,C0559229,"NAD - No abnormality detected,No abnormality detected,No abnormality detected (finding)",No abnormality detected
55,C0030794,"Pain in pelvis,Pain in pelvis (finding)",Pain in pelvis
56,C0013395,"Dyspepsia,Dyspepsia,Indigestion,Indigestion,Indigestion (finding)",Indigestion
57,C0025874,"Bleeding between periods,Bleeding between periods (finding),Bleeding unrelated to menstrual cycle,DUB - Dysfunctional uterine bleeding,DUH - Dysfunctional uterine haemorrhage,DUH - Dysfunctional uterine hemorrhage,Dysfunctional uterine bleeding,Dysfunctional uterine bleeding (finding),Dysfunctional uterine haemorrhage,Dysfunctional uterine hemorrhage,IMB - Intermenstrual bleeding,Intermenstrual bleeding,Intermenstrual bleeding - irregular,Intermenstrual bleeding - irregular (finding),Irregular intermenstrual bleeding,Irregular intermenstrual bleeding,Metrorrhagia,Metrorrhagia,Mid-cycle bleeding,Spotting between periods",Dysfunctional uterine bleeding
58,C0042023,"FOM - Frequency of micturition,Finding of frequency of urination,Finding of frequency of urination (finding),Frequency of micturition,Frequency of micturition,Frequency of urination,Increased frequency of micturition,Increased frequency of urination,Increased frequency of urination (finding),Observation of frequency of urination,Passes water too often,Periodicity of micturition,Pollakisuria,Pollakiuria,Urinary frequency",Increased frequency of urination
59,C0337671,"Cessation of smoking,Ex-smoker,Ex-smoker (finding),Past tobacco smoker",Ex-smoker
60,C0262365,"Abnormal mammogram,Mammography abnormal,Mammography abnormal (finding)",Mammography abnormal
61,C0041747,"Accidental pregnancy,Unplanned pregnancy,Unplanned pregnancy (finding)",Unplanned pregnancy
62,C0033687,"Abnormal presence of protein in urine,Proteinuria,Proteinuria,Proteinuria (finding),Proteinuria, unspecified",Proteinuria
63,C0027497,"Nausea,Nausea,Nausea (finding),Nausea NOS,Nauseated,Nauseous,Observation of nausea",Nausea
64,C1313967,"Needs influenza immunisation,Needs influenza immunization,Needs influenza immunization (finding)",Needs influenza immunization
65,C0002622,"Amnesia,Amnesia (finding),Amnesia NOS,Dysmnesia,LOM - Loss of memory,Loss of memory,Memory gone,Memory loss,Memory loss - amnesia,Memory loss NOS",Amnesia
66,C0013456,"Ear ache,Ear pain,Earache,Earache symptom,Earache symptom (finding),Earache symptoms,Otalgia,Otalgia,Otalgia (finding),Otalgia, unspecified ear,Pain in ear",Otalgia
67,C0040822,"Has a tremor,Shakes,Shaking,Shaking all over,The shakes,Tremor,Tremor (finding),Tremor, unspecified",Tremor
68,C0428047,"Rubella non-immune,Rubella non-immune (finding)",Rubella non-immune
69,C0013428,"Dysuria,Dysuria,Dysuria (finding),Pain associated with micturition,Pain emptying bladder,Pain on micturition,Pain on voiding,Pain passing urine,Pain passing water,Painful micturition,Painful micturition, unspecified,Painful urination NOS,Passing water hurts,Urination painful",Dysuria
70,C0423670,"Arthralgia of shoulder,Arthralgia of the shoulder region,Shoulder joint pain,Shoulder joint pain (finding)",Shoulder joint pain
71,C2350019,"Solitary nodule of lung,Solitary nodule of lung (finding),Solitary pulmonary nodule,Solitary pulmonary nodule",Solitary nodule of lung
72,C0232989,"Normal pregnancy,Normal pregnancy (finding)",Normal pregnancy
73,C0002453,"Absence of menstruation,Amenorrhea,Amenorrhea (finding),Amenorrhea, unspecified,Amenorrhoea",Amenorrhea
74,C0239377,"Pain in upper limb,Pain in upper limb (finding),Pain in upper limb NOS,Pain of upper limb",Pain in upper limb
75,C0014591,"Bleeding from nose,Bleeding from nose (finding),Epistaxis,Epistaxis,Finding of bleeding of nose,Hemorrhage from nose,Nasal haemorrhage,Nasal hemorrhage,Nosebleed,Nosebleed,Observation of bleeding of nose",Bleeding from nose
76,C0231528,"Aching muscles,Muscle ache,Muscle pain,Muscle pain (finding),Myalgia,Myalgia,Myodynia,Myoneuralgia,Myosalgia",Muscle pain
77,C0338656,"Cognitive decline,Cognitive deficit,Cognitive disturbance,Cognitive dysfunction,Cognitive impairment,Impaired cognition,Impaired cognition (finding)",Impaired cognition
78,C0030193,"Dolor,Pain,Pain (finding),Pain NOS,Pain observations,Pain, unspecified,Painful,Part hurts",Pain
79,C0227791,"Vaginal discharge,Vaginal discharge (finding)",Vaginal discharge
80,C0497406,"Overweight,Overweight,Overweight (finding),Patient overweight",Overweight
81,C0032776,"Bleeding after menopause,PMB - Postmenopausal bleeding,Postmenopausal bleeding,Postmenopausal bleeding,Postmenopausal bleeding (finding)",Postmenopausal bleeding
82,C0037384,"Finding of snoring,Observation of snoring,Snores,Snoring,Snoring,Snoring (finding),Snoring symptom,Snoring symptoms,Snoring symptoms (finding)",Snoring
83,C0235710,"Chest discomfort,Chest discomfort (finding)",Chest discomfort
84,C0221785,"Arthralgia of wrist,Pain in wrist,Pain in wrist,Pain in wrist (finding),Wrist joint pain,Wrist joint pain (finding),Wrist pain",Pain in wrist
85,C0221785,"Arthralgia of wrist,Pain in wrist,Pain in wrist,Pain in wrist (finding),Wrist joint pain,Wrist joint pain (finding),Wrist pain",Wrist joint pain
86,C0085598,"False labor,False labor,False labor (finding),False labor, unspecified,False labour,Spurious labor,Spurious labour",False labor
87,C2979982,"Bleeding from vagina,Bleeding from vagina (finding),Observations of vaginal bleeding,Vaginal bleeding",Bleeding from vagina
88,C0476367,"Shadow of lung,Shadow of lung (finding),Shadow, lung",Shadow of lung
89,C0578883,"Problem situation relating to social and personal history,Problem situation relating to social and personal history (finding)",Problem situation relating to social and personal history
90,C0580703,"Postoperative visit,Postoperative visit (finding)",Postoperative visit
91,C0376405,"Does not comply with treatment,Nonadherence with treatment,Noncompliance with treatment,Noncompliance with treatment (finding)",Noncompliance with treatment
92,C0085639,"Fall,Fall (event),Falling,Falls,Falls (finding),Unspecified fall",Falls
93,C0342302,"Brittle diabetes,Brittle diabetes mellitus,Brittle diabetes mellitus (finding),Labile diabetes,Unstable diabetes mellitus",Brittle diabetes mellitus
94,C0021775,"Claudication,IC - Intermittent claudication,Intermittent claudication,Intermittent claudication,Intermittent claudication (finding),Myasthenia angiosclerotica",Intermittent claudication
95,C0740418,"Chronic back pain,Chronic back pain (finding)",Chronic back pain
96,C0150055,"Chronic pain,Chronic pain (finding)",Chronic pain
97,C0038437,"Female stress incontinence,Female urinary stress incontinence,Female urinary stress incontinence (finding)",Female urinary stress incontinence
98,C0239833,"Hand pain,Hand pain (finding),Painful hand",Hand pain
99,C0020580,"Hypesthesia,Hypesthesia (finding),Hypoaesthesia,Hypoaesthesia (reduced sensation),Hypoesthesia,Hypoesthesia (reduced sensation),Impaired sensation,Limited sensation,Reduced sensation,Reduced sensation of skin,Reduced sensation of skin (finding),Tactile hypaesthesia,Tactile hypesthesia,Tactile hypesthesia (finding)",Hypesthesia
100,C0231807,"Breathlessness on exertion,Dyspnea on effort,Dyspnea on exertion,Dyspnea on exertion (finding),Dyspnoea on effort,Dyspnoea on exertion,Exertional dyspnea,Exertional dyspnoea,SOBOE - Shortness of breath on exertion,Short of breath on exertion",Dyspnea on exertion
101,C0030554,"Paraesthesia,Paraesthesia (numbness/tingling),Paresthesia,Paresthesia (finding),Paresthesia (numbness/tingling)",Paresthesia
102,C0587223,"Abdominal pain in pregnancy,Abdominal pain in pregnancy (finding)",Abdominal pain in pregnancy
103,C0018932,"BRBPR - Bright red blood per rectum,Blood in faeces,Blood in feces,Blood in stool,Bloody stool,Bright red blood in stool,Bright red blood per rectum,Faeces: blood,Feces: blood,Fresh blood passed per rectum,Haematochezia,Hematochezia,Hematochezia (finding),Passage of bloody stools",Hematochezia
104,C0278061,"Abnormal mental state,Altered mental status,Altered mental status (finding)",Altered mental status
105,C0242786,"HRP - High risk pregnancy,High risk pregnancy,High risk pregnancy (finding)",High risk pregnancy
106,C0438237,"Liver enzymes abnormal,Liver enzymes abnormal (finding)",Liver enzymes abnormal
107,C0027424,"Congested nose,Nasal congestion,Nasal congestion,Nasal congestion (finding),Stuffed-up nose",Nasal congestion
108,C0016199,"Flank pain,Flank pain (finding)",Flank pain
109,C0019079,"Blood streaked sputum,Blood streaked sputum (finding),Coughing up blood,Haemoptysis,Hemoptysis,Hemoptysis,Hemoptysis (finding)",Hemoptysis
110,C0235299,"Right upper quadrant pain,Right upper quadrant pain,Right upper quadrant pain (finding)",Right upper quadrant pain
111,C0344365,"Incomplete bladder emptying,Incomplete emptying of bladder,Incomplete emptying of bladder (finding)",Incomplete emptying of bladder
112,C0016034,"Diffuse cystic mastopathy,Diffuse cystic mastopathy,Fibrocystic breast changes,Fibrocystic breast changes (finding),Fibrocystic change of breast,Fibrocystic disease of breast,Fibrocystic disease of breast,Fibrocystic mastopathy,Gross cystic disease of breast,Schimmelbusch's disease,fibrocystic mastopathy",Fibrocystic breast changes
113,C0481523,"Surgical follow-up,Surgical follow-up (finding)",Surgical follow-up
114,C0424000,"Feeling suicidal,Feeling suicidal (finding),Suicidal ideations,Suicidal thoughts,Suicidal thoughts (finding)",Feeling suicidal
115,C0424000,"Feeling suicidal,Feeling suicidal (finding),Suicidal ideations,Suicidal thoughts,Suicidal thoughts (finding)",Suicidal thoughts
116,C0150045,"Lack of bladder control if desire resisted,Lack of bladder control if desire urgent,Must urinate at once with urge,Urge incontinence,Urge incontinence of urine,Urge incontinence of urine (finding),Urge urinary incontinence",Urge incontinence of urine
117,C0575081,"Abnormal gait,Abnormal gait (finding),Gait abnormality,Gait difficulty,Gait problem",Abnormal gait
118,C0043094,"Weight gain,Weight gain (finding),Weight increased,Weight increased (finding),Weight increasing,Weight increasing (finding)",Weight increased
119,C0582114,"DNAR - Do not attempt resuscitation,DNR,Do not resuscitate,Do not resuscitate status,Do not resuscitate status (Z66),Not for resuscitation,Not for resuscitation (finding)",Not for resuscitation
120,C0428977,"Bradycardia,Bradycardia (finding),Bradycardia, unspecified,Decreased heart rate,Heart rate slow,Slow heart beat,Slow heart beat",Bradycardia
121,C0587770,"Follow-up orthopaedic assessment,Follow-up orthopedic assessment,Follow-up orthopedic assessment (finding)",Follow-up orthopedic assessment
122,C0037763,"Muscle spasm,Spasm,Spasm (finding)",Spasm
123,C0024902,"Breast pain,Breast painful,Mastalgia,Mastodynia,Mastodynia,Pain in the breast,Pain of breast,Pain of breast (finding),Painful breasts",Pain of breast
124,C0039231,"Heart rate fast,Increased heart rate,Pulse fast,Pulse fast (finding),Rapid heart beat,Rapid heart beat,Rapid pulse,Tachycardia,Tachycardia (finding),Tachycardia - pulse,Tachycardia, unspecified",Tachycardia
125,C0566690,"Vaginal delivery,Vaginal delivery (finding)",Vaginal delivery
126,C0936227,"Abnormal decrease in weight,Abnormal weight loss,Abnormal weight loss,Abnormal weight loss (finding)",Abnormal weight loss
127,C0522055,"Abnormal ECG,Abnormal EKG finding,Electrocardiogram abnormal,Electrocardiogram abnormal (finding)",Electrocardiogram abnormal
128,C0233514,"Abnormal behavior,Abnormal behavior (finding),Abnormal behaviour,Abnormal conduct,Behavioral problem,Behavioural problem,Disturbance of conation,Problem behavior,Problem behavior (finding),Problem behaviour,Strange behavior,Strange behaviour",Problem behavior
129,C1269832,"Post PTCA,Post percutaneous transluminal coronary angioplasty,Post percutaneous transluminal coronary angioplasty (finding)",Post percutaneous transluminal coronary angioplasty
130,C0086565,"Abnormal hepatic function,Abnormal liver function,Abnormal liver function (finding)",Abnormal liver function
131,C0587046,"Artificial lens in situ,Artificial lens present,Artificial lens present (finding)",Artificial lens present
132,C0019699,"HIV positive,HIV positive NOS,HTLV-3 antibody positive,Human immunodeficiency virus (HIV) positive,Human immunodeficiency virus positive,Human immunodeficiency virus positive (finding)",Human immunodeficiency virus positive
133,C1278395,"Borderline blood pressure,Borderline blood pressure (finding)",Borderline blood pressure
134,C0005697,"Neurogenic bladder,Neurogenic bladder (finding),Neurogenic dysfunction of the urinary bladder,Neurogenic dysfunction of the urinary bladder (finding),Neuropathic bladder",Neurogenic bladder
135,C0043144,"Wheeze,Wheezing,Wheezing,Wheezing (finding),Wheezy",Wheezing
136,C0558818,"Elevated levels of transaminase & lactic acid dehydrogenase,Elevated levels of transaminase & lactic acid dehydrogenase (finding),Elevated levels of transaminase and lactic acid dehydrogenase",Elevated levels of transaminase & lactic acid dehydrogenase
137,C2317549,"Methicillin resistant staphylococcus aureus carrier,Methicillin resistant staphylococcus aureus carrier (finding)",Methicillin resistant staphylococcus aureus carrier
138,C0019825,"Croaky voice,Hoarse,Hoarse (finding),Hoarseness,Hoarseness,Hoarseness - throat symptom,Hoarseness symptom,Husky voice,Voice hoarseness",Hoarse
139,C0521839,"Flu-like illness,Influenza like illness,Influenza-like illness,Influenza-like illness (finding)",Influenza-like illness
140,C0694551,"Right lower quadrant pain,Right lower quadrant pain,Right lower quadrant pain (finding)",Right lower quadrant pain
141,C0021359,"Cannot achieve a pregnancy,Difficulty conceiving,Infertile,Infertile (finding),Sterility,Sterility (finding)",Infertile
142,C0151908,"Anhydrotic skin,Dry skin,Dry skin (finding)",Dry skin
143,C3539909,"Allergic disposition,Allergic disposition (disorder),Allergy",Allergic disposition
144,C0587823,"Active advance directive (copy within chart),Active advance directive (copy within chart) (finding),Active advanced healthcare directive (copy within chart),Advance directive signed (copy in notes)",Active advance directive (copy within chart)
145,C0038435,"State of stress,Stress,Stress,Stress (finding),Stress (qualifier value),Stress - value",Stress
146,C0700589,"Birth control,Contraception,Contraception (finding)",Contraception
147,C0008035,"Chest wall pain,Chest wall pain (finding)",Chest wall pain
148,C0151827,"Eye pain,Ocular pain,Ocular pain,Ocular pain, unspecified eye,Pain in eye,Pain in eye (finding)",Pain in eye
149,C0021293,"Post-term infant,Postmature baby,Postmature fetus,Postmature foetus,Postmature infancy,Postmature infancy (finding),Postmaturity of baby,Postterm infancy",Postmature infancy
150,C0028734,"Nocturia,Nocturia,Nocturia (finding)",Nocturia
151,C0028734,"Nocturia,Nocturia,Nocturia (finding)",Finding of nocturia
152,C0030196,"Limb pain,Pain in limb,Pain in limb (finding),Pain in limb NOS",Pain in limb
153,C0270327,"Bed wetting,Bedwetting,Nocturnal enuresis,Nocturnal enuresis,Nocturnal enuresis (finding),Nocturnal incontinence of urine,Wets bed",Nocturnal enuresis
154,C1562890,"AMA - advanced maternal age,Advanced maternal age gravida,Advanced maternal age gravida (finding),Advanced maternal age patient",Advanced maternal age gravida
155,C0270124,"Fetal distress, in liveborn infant,Fetal distress, in liveborn infant (finding),Fetal intrauterine distress, not clear if noted before OR after onset of labor in liveborn infant,Fetal intrauterine distress, not clear if noted before OR after onset of labour in liveborn infant,Foetal distress, in liveborn infant,Foetal intrauterine distress, not clear if noted before OR after onset of labour in liveborn infant","Fetal distress, in liveborn infant"
156,C1960888,"Pain in female pelvis,Pain in female pelvis (finding)",Pain in female pelvis
157,C0009952,"Febrile convulsion,Febrile convulsion (finding),Febrile convulsion NOS,Febrile convulsions,Febrile fit,Febrile seizure,Febrile seizure (from fever),Febrile seizure NOS,Fever seizure,Pyrexial convulsion",Febrile convulsion
158,C0018834,"Burning reflux,Heartburn,Heartburn,Heartburn (finding),Heartburn symptom,Pyrosis",Heartburn
159,C0563273,"General health deterioration,General health deterioration (finding)",General health deterioration
160,C0042025,"GSI - Genuine stress incontinence,Genuine stress incontinence,Genuine stress incontinence (finding),Incontinence when straining,SI - Stress incontinence,Stress bladder incontinence,Stress urinary incontinence,Urinary stress incontinence",Genuine stress incontinence
161,C0574785,"LUTS - Lower urinary tract symptoms,Lower urinary tract symptoms,Lower urinary tract symptoms (finding)",Lower urinary tract symptoms
162,C0041657,"Loss of consciousness,Loss of consciousness (finding),Mental status, unconsciousness,Unconscious,Unconscious (finding),Unconsciousness,Unconsciousness NOS",Unconscious
163,C0347944,"Mass of pelvic structure,Mass of pelvic structure (finding),Pelvic lump,Pelvic mass",Mass of pelvic structure
164,C0238656,"Ankle joint pain,Ankle joint pain (finding),Ankle pain,Ankle pain (finding),Arthralgia of ankle",Ankle pain
165,C0238656,"Ankle joint pain,Ankle joint pain (finding),Ankle pain,Ankle pain (finding),Arthralgia of ankle",Ankle joint pain
166,C0022346,"Icteric,Icterus,Jaundice,Jaundice (finding),Jaundiced,Unspecified jaundice",Jaundice
167,C0458233,"Arthralgia of tibiofibular joint,Tibiofibular joint pain,Tibiofibular joint pain (finding)",Tibiofibular joint pain
168,C0600142,"Climacteric flushing,Climacteric flushing (disorder),Hot flashes,Hot flush,Hot flushes,Menopausal flushing,Menopausal flushing (finding),Menopausal hot flashes,Menopausal hot flushes",Menopausal flushing
169,C0238551,"Left lower quadrant pain,Left lower quadrant pain,Left lower quadrant pain (finding)",Left lower quadrant pain
170,C0574002,"Edema of foot,Edema of foot (finding),Foot edema,Foot oedema,Foot swelling,Foot swelling (finding),Oedema of foot,Pedal edema,Pedal oedema,Swollen foot",Edema of foot
171,C0239266,"Elbow pain,Pain in elbow,Pain in elbow,Pain in elbow (finding),Pain in unspecified elbow",Pain in elbow
172,C0010201,"Chronic cough,Chronic cough (finding)",Chronic cough
173,C0006157,"Breech presentation,Breech presentation (finding),Malposition of fetus in breech presentation,Positions of breech presentation,Positions of breech presentation (observable entity)",Breech presentation
174,C0022876,"Premature labor,Premature labor (finding),Premature labour,Premature onset of labor,Premature onset of labour,Preterm labor,Preterm labor,Preterm labour",Premature labor
175,C0266813,"Faecal occult blood positive,Fecal occult blood positive,Occult blood in feces,Occult blood in stool,Occult blood in stools,Occult blood in stools,Occult blood in stools (finding)",Occult blood in stools
176,C0266813,"Faecal occult blood positive,Fecal occult blood positive,Occult blood in feces,Occult blood in stool,Occult blood in stools,Occult blood in stools,Occult blood in stools (finding)",Fecal occult blood: positive
177,C0034735,"Paroxysmal digital cyanosis,Raynaud phenomenon,Raynaud's phenomenon,Raynaud's phenomenon (finding),Raynaud's syndrome",Raynaud's phenomenon
178,C0239340,"Edema of lower extremity,Edema of lower extremity (finding),Edema of lower limb,Oedema of lower extremity,Oedema of lower limb",Edema of lower extremity
179,C0476280,"Musculoskeletal chest pain,Musculoskeletal chest pain (finding)",Musculoskeletal chest pain
180,C0426093,"OA - Occipitoanterior position,Occipitoanterior position,Occipitoanterior position (finding)",Occipitoanterior position
181,C0232943,"Intermenstrual heavy bleeding,Intermenstrual heavy bleeding (finding),Menometrorrhagia,Menometrorrhagia,Menometrorrhagia (finding),Metromenorrhagia",Menometrorrhagia
182,C0009250,"Coin lesion lung,Coin lesion of lung,Coin lesion of lung (finding)",Coin lesion of lung
183,C0745966,"Edema of lower leg,Edema of lower leg (finding),Oedema of lower leg",Edema of lower leg
184,C0337667,"Cigarette smoker,Cigarette smoker (finding)",Cigarette smoker
185,C0085606,"Must hurry to pass urine,Precipitancy of micturition,Precipitancy of urine,Urgency - urination,Urgency of micturition,Urgency of urination,Urgency to micturate,Urgency to pass urine,Urgent desire to urinate,Urgent desire to urinate (finding),Urging to urinate,Urinary precipitancy",Urgent desire to urinate
186,C0151786,"Decreased muscle strength,Muscle strength reduced,Muscle weakness,Muscle weakness (finding)",Muscle weakness
187,C0426196,"Vaginal show,Vaginal show (finding)",Vaginal show
188,C0241416,"Pain in toe,Pain in toe (finding),Toe pain",Pain in toe
189,C0031538,"Phimosis,Phimosis,Phimosis (disorder),Tight foreskin,Tight foreskin (finding),Tight prepuce",Tight foreskin
190,C3266180,"Cramp in lower leg,Cramp in lower leg (finding)",Cramp in lower leg
191,C0556297,"Alcohol user,Current drinker,Current drinker of alcohol,Current drinker of alcohol (finding),Drinks alcohol",Current drinker of alcohol
