,UMLS_CUI,synonyms,root
16,C0002871,"Anaemia,Anemia,Anemia (disorder),Anemia, unspecified",Anemia
17,C0042029,"UTI - Urinary tract infection,Urinary tract infection,Urinary tract infection, site not specified,Urinary tract infectious disease,Urinary tract infectious disease (disorder)",Urinary tract infectious disease
18,C0024117,"COPD,CAFL - Chronic airflow limitation,CAL - Chronic airflow limitation,COAD - Chronic obstructive airways disease,COLD - Chronic obstructive lung disease,COPD - Chronic obstructive pulmonary disease,Chronic airflow limitation,Chronic airway disease,Chronic airway obstruction,Chronic irreversible airway obstruction,Chronic obstructive airway disease,Chronic obstructive airway disease NOS,Chronic obstructive lung disease,Chronic obstructive lung disease (disorder),Chronic obstructive lung disease NOS,Chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease, unspecified",Chronic obstructive lung disease
19,C0004238,"AF - Atrial fibrillation,Atrial fibrillation,Atrial fibrillation (disorder)",Atrial fibrillation
20,C0032285,"Pneumonia,Pneumonia (disorder)",Pneumonia
21,C0018802,"CCF - Congestive cardiac failure,CHF - Congestive heart failure,Congestive cardiac failure,Congestive heart disease,Congestive heart disease,Congestive heart failure,Congestive heart failure (disorder),Congestive heart failure NOS",Congestive heart failure
22,C0149931,"Migraine,Migraine,Migraine (disorder),Migraine NOS,Migraine, unspecified",Migraine
23,C0029456,"OP - Osteoporosis,Osteoporosis,Osteoporosis (disorder),Osteoporosis NOS",Osteoporosis
24,C0009376,"Colonic polyp,Polyp colon,Polyp of colon,Polyp of colon,Polyp of colon (disorder)",Polyp of colon
25,C0029882,"OM - Otitis media,Otitis media,Otitis media (disorder),Otitis media NOS,Otitis media, unspecified,Otitis media, unspecified, unspecified ear",Otitis media
26,C0037199,"Sinusitis,Sinusitis (disorder),sinus infection",Sinusitis
27,C0037315,"SAS - Sleep apnea syndrome,SAS - Sleep apnoea syndrome,Sleep apnea,Sleep apnea,Sleep apnea (disorder),Sleep apnea NOS,Sleep apnea syndrome,Sleep apnea, unspecified,Sleep apnoea,Sleep apnoea syndrome,Sleep hypopnea,Sleep hypopnoea",Sleep apnea
28,C0917801,"Insomnia,Insomnia,Insomnia (disorder),Insomnia NOS,Insomnia, unspecified,Sleeplessness",Insomnia
29,C0018099,"Gout,Gout,Gout NOS,Gout, unspecified,Inflammatory disorder due to increased blood urate level,Inflammatory disorder due to increased blood urate level (disorder)",Inflammatory disorder due to increased blood urate level
30,C0040332,"Compulsive tobacco user syndrome,Tobacco dependence,Tobacco dependence syndrome,Tobacco dependence syndrome (disorder)",Tobacco dependence syndrome
31,C0376358,"CA - Cancer of prostate,Cancer of prostate,Malignant neoplasm of prostate,Malignant prostatic tumor,Malignant prostatic tumour,Malignant tumor of prostate,Malignant tumor of prostate (disorder),Malignant tumour of prostate",Malignant tumor of prostate
32,C1384666,"Decreased hearing,Decreased hearing (finding),Difficulty hearing,HI - Hearing impairment,HL - Hearing loss,HOH - Hard of hearing,Hard of hearing,Hearing impaired,Hearing impairment,Hearing loss,Hearing loss (disorder),Hypoacusis,Impaired hearing,Unspecified hearing loss",Hearing loss
33,C0149514,"Acute bronchitis,Acute bronchitis,Acute bronchitis (disorder),Acute bronchitis, unspecified,Acute tracheobronchitis,Acute tracheobronchitis (disorder)",Acute bronchitis
34,C0022650,"Calculus of kidney,Calculus of kidney,Kidney calculus,Kidney stone,Kidney stone (disorder),Nephrolith,Nephrolithiasis,Renal calculus,Renal calculus,Renal stone,Renal stone,Stone in kidney",Kidney stone
35,C0520679,"OSA - Obstructive sleep apnea,OSA - Obstructive sleep apnoea,Obstructive sleep apnea,Obstructive sleep apnea (adult) (pediatric),Obstructive sleep apnea syndrome,Obstructive sleep apnea syndrome (disorder),Obstructive sleep apnoea,Obstructive sleep apnoea syndrome",Obstructive sleep apnea syndrome
36,C0006142,"Breast cancer,CA - Breast cancer,Malignant neoplasm of breast,Malignant neoplasm of breast,Malignant neoplasm of breast (disorder),Malignant neoplasms of breast (C50),Malignant tumor of breast,Malignant tumour of breast",Malignant neoplasm of breast
37,C0242350,"Erectile disorder,Erectile dysfunction,Failure of erection,Impotence,Impotence (disorder),Impotence NOS,Male erectile disorder,Male erectile dysfunction,Male erectile dysfunction, unspecified,Sexual impotence",Impotence
38,C0242350,"Erectile disorder,Erectile dysfunction,Failure of erection,Impotence,Impotence (disorder),Impotence NOS,Male erectile disorder,Male erectile dysfunction,Male erectile dysfunction, unspecified,Sexual impotence",Male erectile disorder
39,C0022104,"Adaptive colitis,Colon spasm,Functional bowel disease,IBS - Irritable bowel syndrome,IC - Irritable colon,Irritable bowel,Irritable bowel syndrome,Irritable bowel syndrome,Irritable bowel syndrome (disorder),Irritable bowel syndrome NOS,Irritable colon,Irritable colon syndrome,Membranous colitis,Mucous colitis,Nervous colitis,Spastic colitis,Spastic colon,irritable colon,spastic colon",Irritable bowel syndrome
40,C0038454,"CVA - Cerebrovascular accident,Cerebrovascular accident,Cerebrovascular accident (disorder),Stroke,Stroke NOS",Cerebrovascular accident
41,C0702166,"Acne,Acne,Acne (disorder),Acne, unspecified",Acne vulgaris
42,C1704272,"BPH - benign prostatic hyperplasia,Benign prostatic hyperplasia,Benign prostatic hyperplasia,Benign prostatic hyperplasia (disorder),Nodular hyperplasia of prostate gland",Benign prostatic hyperplasia
43,C0007286,"CTS - Carpal tunnel syndrome,Carpal canal,Carpal tunnel,Carpal tunnel syndrome,Carpal tunnel syndrome,Carpal tunnel syndrome (disorder),Carpal tunnel syndrome, unspecified upper limb,Distal median nerve compression,Distal median nerve entrapment",Carpal tunnel syndrome
44,C0006277,"Bronchitis,Bronchitis (disorder),Bronchitis NOS,Bronchitis, not specified as acute or chronic",Bronchitis
45,C0012819,"Diverticular disease of colon,Diverticular disease of colon (disorder),Diverticular disease of colon NOS,Diverticulosis of colon,Diverticulosis of colon (finding),Symptomatic diverticulosis of colon",Diverticular disease of colon
46,C0031350,"Pharyngitis,Pharyngitis (disorder)",Pharyngitis
47,C0003864,"Arthritis,Arthritis (disorder),Arthritis NOS,Inflammatory arthritis,Joint inflammation",Arthritis
48,C0085762,"AA - Alcohol abuse,Alcohol abuse,Alcohol abuse,Alcohol abuse (disorder),Ethanol abuse",Alcohol abuse
49,C0242339,"Dyslipidaemia,Dyslipidemia,Dyslipidemia (disorder),High blood cholesterol/triglycerides",Dyslipidemia
50,C0497327,"Dementia,Dementia (disorder),Dementia NOS,Organic dementia,Unspecified dementia,Unspecified dementia",Dementia
51,C0013595,"Eczema,Eczema (disorder),Eczema NOS,Unclassifiable eczema,Unclassifiable eczema (disorder)",Eczema
52,C0346215,"Benign prostatic hypertrophy without outflow obstruction,Benign prostatic hypertrophy without outflow obstruction (disorder)",Benign prostatic hypertrophy without outflow obstruction
53,C0039070,"Blackout,Faint,Fainting,Fainting,Syncope,Syncope (disorder),Syncope and collapse,Syncope and collapse,Syncope and collapse (disorder),Syncope attack,Syncope symptom,Syncope symptom (finding)",Syncope
54,C0039070,"Blackout,Faint,Fainting,Fainting,Syncope,Syncope (disorder),Syncope and collapse,Syncope and collapse,Syncope and collapse (disorder),Syncope attack,Syncope symptom,Syncope symptom (finding)",Syncope and collapse
55,C0149512,"Acute infection of sinus,Acute inflammation of nasal sinus,Acute inflammation of sinus,Acute sinusitis,Acute sinusitis,Acute sinusitis (disorder),Acute sinusitis, unspecified,Acute sinusitis, unspecified,acute infection of sinus,acute inflammation of sinus",Acute sinusitis
56,C0162316,"IDA - Iron deficiency anaemia,IDA - Iron deficiency anemia,Iron deficiency anaemia,Iron deficiency anaemia syndrome,Iron deficiency anemia,Iron deficiency anemia,Iron deficiency anemia (disorder),Iron deficiency anemia syndrome,Iron deficiency anemia, unspecified,Sideropenic anaemia,Sideropenic anemia",Iron deficiency anemia
57,C0018621,"Allergic rhinitis caused by pollen,Allergic rhinitis caused by pollen (disorder),Allergic rhinitis caused by pollens,Allergic rhinitis due to pollen,Allergic rhinitis due to pollen,Allergic rhinitis due to pollens,Allergy to pollen,Allergy to pollen (disorder),Hay fever,Hay fever,Hayfever,Pollinosis,Pollinosis,Seasonal allergic rhinitis,Seasonal allergic rhinitis (disorder),Seasonal allergy,Seasonal allergy (disorder),Spasmodic rhinorrhea,Spasmodic rhinorrhoea,spasmodic rhinorrhea",Allergic rhinitis caused by pollen
58,C0018621,"Allergic rhinitis caused by pollen,Allergic rhinitis caused by pollen (disorder),Allergic rhinitis caused by pollens,Allergic rhinitis due to pollen,Allergic rhinitis due to pollen,Allergic rhinitis due to pollens,Allergy to pollen,Allergy to pollen (disorder),Hay fever,Hay fever,Hayfever,Pollinosis,Pollinosis,Seasonal allergic rhinitis,Seasonal allergic rhinitis (disorder),Seasonal allergy,Seasonal allergy (disorder),Spasmodic rhinorrhea,Spasmodic rhinorrhoea,spasmodic rhinorrhea",Seasonal allergic rhinitis
59,C0017152,"Gastric catarrh,Gastritis,Gastritis (disorder),Gastritis, unspecified",Gastritis
60,C0086543,"Cat. - cataract,Cataract,Cataract,Cataract (disorder),Cataract (morphologic abnormality),Cataract form,Cataract form (observable entity),Unspecified cataract",Cataract
61,C0022661,"CRF - Chronic renal failure,Chronic renal disease,Chronic renal failure,Chronic renal failure NOS,Chronic renal failure syndrome,Chronic renal failure syndrome (disorder),ESCRF - End stage chronic renal failure,ESRD - End stage renal disease,ESRF - End stage renal failure,End stage chronic renal failure,End stage kidney disease,End-stage renal disease,End-stage renal disease (disorder)",Chronic renal failure syndrome
62,C0022661,"CRF - Chronic renal failure,Chronic renal disease,Chronic renal failure,Chronic renal failure NOS,Chronic renal failure syndrome,Chronic renal failure syndrome (disorder),ESCRF - End stage chronic renal failure,ESRD - End stage renal disease,ESRF - End stage renal failure,End stage chronic renal failure,End stage kidney disease,End-stage renal disease,End-stage renal disease (disorder)",End-stage renal disease
63,C0018965,"Blood in urine,Blood in urine (finding),Blood in urine - haematuria,Blood in urine - hematuria,Haematuria,Haematuria syndrome,Hematuria,Hematuria,Hematuria syndrome,Hematuria syndrome (disorder),Hematuria, unspecified",Hematuria syndrome
64,C0031117,"Disorder of peripheral nervous system NOS,Disorder of the peripheral nervous system,Disorder of the peripheral nervous system (disorder),Peripheral nerve disease,Peripheral nerve disease (disorder),Peripheral neuropathy",Disorder of the peripheral nervous system
65,C0031117,"Disorder of peripheral nervous system NOS,Disorder of the peripheral nervous system,Disorder of the peripheral nervous system (disorder),Peripheral nerve disease,Peripheral nerve disease (disorder),Peripheral neuropathy",Peripheral nerve disease
66,C0019196,"Hepatitis C,Hepatitis non-A non-B,Hepatitis non-A non-B (disorder),Type C viral hepatitis,Unspecified viral hepatitis C,Viral hepatitis C,Viral hepatitis C NOS,Viral hepatitis type C,Viral hepatitis type C (disorder)",Viral hepatitis type C
67,C0015230,"Breaking out - eruption,Cutaneous eruption,Cutaneous eruption (morphologic abnormality),Eruption,Eruption of skin,Eruption of skin (disorder),Exanthem,Exanthem,Exanthema,Exanthemata,Rash,Rash,Rash and other nonspecific skin eruption,Skin eruption,Skin rash,rash NOS",Eruption of skin
68,C0011854,"Diabetes mellitus type 1,Diabetes mellitus type 1 (disorder),Diabetes mellitus type I,Type 1 diabetes mellitus,Type 1 diabetes mellitus,Type I diabetes mellitus,brittle diabetes (mellitus),juvenile onset diabetes (mellitus)",Diabetes mellitus type 1
69,C0035078,"RF - Renal failure,Renal failure,Renal failure syndrome,Renal failure syndrome (disorder),Renal insufficiency,Renal insufficiency (disorder),Renal insufficiency syndrome,Unspecified kidney failure",Renal failure syndrome
70,C0085096,"PVD-peripheral vascular disease,Peripheral angiopathy,Peripheral angiopathy NOS,Peripheral vascular disease,Peripheral vascular disease (disorder),Peripheral vascular disease, unspecified",Peripheral vascular disease
71,C0020456,"Hyperglycaemia,Hyperglycaemic disorder,Hyperglycemia,Hyperglycemia (disorder),Hyperglycemia, unspecified,Hyperglycemic disorder,Hyperglycemic disorder (disorder)",Hyperglycemia
72,C0014544,"EP - Epilepsy,Epilepsy,Epilepsy (disorder),Epilepsy NOS,Epilepsy, unspecified,Epileptic,Epileptic convulsions NOS,Epileptic disorder,Epileptic fits NOS,Epileptic seizures NOS,Seizure disorder,Seizure disorder (disorder),Seizure disorder NOS",Seizure disorder
73,C0014544,"EP - Epilepsy,Epilepsy,Epilepsy (disorder),Epilepsy NOS,Epilepsy, unspecified,Epileptic,Epileptic convulsions NOS,Epileptic disorder,Epileptic fits NOS,Epileptic seizures NOS,Seizure disorder,Seizure disorder (disorder),Seizure disorder NOS",Epilepsy
74,C0409959,"Degenerative joint disease of knee,Gonarthrosis,Knee DJD (degenerative joint disease),OA - Osteoarthritis of knee,Osteoarthritis of knee,Osteoarthritis of knee,Osteoarthritis of knee (disorder),Osteoarthritis of knee, unspecified",Osteoarthritis of knee
75,C0022602,"AK - Actinic keratosis,Actinic keratosis,Actinic keratosis,Actinic keratosis,Actinic keratosis (disorder),Actinic keratosis (morphologic abnormality),Atrophic keratosis,Hyperplastic keratosis,Keratinocytic intraepidermal neoplasia,Keratosis NOS,SK - Solar keratosis,Senile keratoma,Senile keratoma,Senile keratoma (disorder),Senile keratosis,Solar keratosis,Solar keratosis,Solar keratosis",Actinic keratosis
76,C0019112,"Haemorrhoid,Haemorrhoids,Hemorrhoid,Hemorrhoids,Hemorrhoids (disorder),Piles,Piles - haemorrhoids,Piles - hemorrhoids,piles",Hemorrhoids
77,C0043246,"Laceration,Laceration,Laceration (morphologic abnormality),Laceration - injury,Laceration - injury (disorder),Tear,Tear - wound,Wound, lacerated",Laceration - injury
78,C0017601,"Glaucoma,Glaucoma,Glaucoma (H40-H42),Glaucoma (disorder),Unspecified glaucoma",Glaucoma
79,C0042769,"Disease caused by virus,Disease due to virus,Viral disease,Viral disease (disorder),Viral illness,Viral infection,Viral infection of unspecified site,Viral infection, unspecified,Viral infectious disease",Viral disease
80,C0007642,"Cellulitis,Cellulitis,Cellulitis (disorder),Cellulitis (morphologic abnormality),Cellulitis, unspecified",Cellulitis
81,C0003873,"Atrophic arthritis,Chronic rheumatic arthritis,RA - Rheumatoid arthritis,RhA - Rheumatoid arthritis,Rheumatic gout,Rheumatoid arthritis,Rheumatoid arthritis (disorder),Rheumatoid arthritis, unspecified,Rheumatoid disease",Rheumatoid arthritis
82,C4282032,"Keratosis senilis,Pigmented basal cell papilloma,Seborrheic wart,Seborrhoeic wart,Senile hyperkeratosis,Senile hyperkeratosis (disorder),Senile keratosis,Senile wart",Senile hyperkeratosis
83,C0003469,"Anxiety NOS,Anxiety disorder,Anxiety disorder (disorder),Anxiety disorder, unspecified",Anxiety disorder
84,C1561643,"CKD - chronic kidney disease,Chronic kidney disease,Chronic kidney disease (CKD),Chronic kidney disease (disorder),Chronic kidney disease, unspecified,Chronic renal disease",Chronic kidney disease
85,C0011168,"Can't get food down,Cannot get food down,Difficulty in swallowing,Difficulty in swallowing NOS,Difficulty swallowing,Difficulty swallowing (finding),Dysphagia,Dysphagia,Dysphagia (disorder),Dysphagia, unspecified,Swallowing difficult",Dysphagia
86,C0029453,"Osteopenia,Osteopenia,Osteopenia (disorder),Osteopenia (morphologic abnormality)",Osteopenia
87,C0016053,"Fibromyalgia,Fibromyalgia,Fibromyalgia (disorder),Fibromyositis,Fibromyositis,Fibromyositis (disorder),Fibrositis,Fibrositis,Fibrositis (disorder),MPS - myofascial pain syndrome,Muscular rheumatism,Muscular rheumatism (disorder),Myofascial pain dysfunction syndrome,Myofascial pain syndrome,Myofascial pain syndrome,Myofascial pain syndrome (disorder),Myofascial trigger point syndrome",Fibromyositis
88,C0016053,"Fibromyalgia,Fibromyalgia,Fibromyalgia (disorder),Fibromyositis,Fibromyositis,Fibromyositis (disorder),Fibrositis,Fibrositis,Fibrositis (disorder),MPS - myofascial pain syndrome,Muscular rheumatism,Muscular rheumatism (disorder),Myofascial pain dysfunction syndrome,Myofascial pain syndrome,Myofascial pain syndrome,Myofascial pain syndrome (disorder),Myofascial trigger point syndrome",Fibrositis
89,C0007102,"CA - Cancer of colon,Cancer of colon,Malignant neoplasm of colon,Malignant neoplasm of colon,Malignant neoplasm of colon (disorder),Malignant neoplasm of colon, unspecified,Malignant tumor of colon,Malignant tumour of colon",Malignant neoplasm of colon
90,C0038436,"PTSD - Post-traumatic stress disorder,Post-traumatic stress disorder,Post-traumatic stress disorder (PTSD),Post-traumatic stress disorder, unspecified,Post-traumatic stress syndrome,Posttraumatic stress disorder,Posttraumatic stress disorder (disorder),Traumatic neurosis,Traumatic neurosis",Posttraumatic stress disorder
91,C3875321,"Inflammatory dermatosis,Inflammatory dermatosis (disorder)",Inflammatory dermatosis
92,C0033860,"Psoriasis,Psoriasis,Psoriasis (disorder),Psoriasis, unspecified",Psoriasis
93,C0027092,"Myopia,Myopia,Myopia (disorder),Near sighted,Nearsightedness",Myopia
94,C0155583,"Benign essential hypertension,Benign essential hypertension (disorder)",Benign essential hypertension
95,C0036646,"Age-related cataract,Age-related cataract,Age-related cataract (disorder),Senile cataract,Senile cataract",Age-related cataract
96,C0002962,"AP - Angina pectoris,Angina,Angina (disorder),Angina NOS,Angina of effort,Angina pectoris,Angina pectoris,Angina pectoris, unspecified,Anginal syndrome,Anginal syndrome,Cardiac angina,Cardiac angina,Ischaemic chest pain,Ischaemic heart disease - angina,Ischemic chest pain,Ischemic chest pain,Ischemic chest pain (finding),Ischemic heart disease - angina,Stenocardia,Stenocardia",Angina
97,C1272092,"Impaired fasting glucose,Impaired fasting glucose,Impaired fasting glycaemia,Impaired fasting glycaemia (disorder)",Impaired fasting glycaemia
98,C0264694,"Chronic ischaemic heart disease,Chronic ischemic heart disease,Chronic ischemic heart disease,Chronic ischemic heart disease (disorder),Chronic ischemic heart disease, unspecified,Chronic myocardial ischaemia,Chronic myocardial ischemia,Chronic myocardial ischemia (disorder),Ischemic heart disease (chronic) NOS",Chronic ischemic heart disease
99,C0149516,"Chronic infection of sinus,Chronic rhinosinusitis,Chronic sinusitis,Chronic sinusitis,Chronic sinusitis (disorder),Chronic sinusitis, unspecified,Sinusitis (chronic) NOS",Chronic sinusitis
100,C0007117,"BCC - Basal cell carcinoma,BCC - Basal cell carcinoma of skin,Basal cell carcinoma,Basal cell carcinoma (morphologic abnormality),Basal cell carcinoma of skin,Basal cell carcinoma of skin (disorder),Basal cell epithelioma,Basalioma,Basiloma,Cancer of skin, basal cell,Epithelioma basal cell,Epithelioma basal cell (disorder),RU - Rodent ulcer,Rodent ulcer,Rodent ulcer",Basal cell carcinoma of skin
101,C0009763,"Conjunctivitis,Conjunctivitis,Conjunctivitis (disorder),Inflammation of conjunctiva,Unspecified conjunctivitis",Conjunctivitis
102,C0271650,"Chemical diabetes,IGT - Impaired glucose tolerance,Impaired glucose tolerance,Impaired glucose tolerance (disorder),Latent diabetes,Latent diabetes,Malabsorption of glucose,Malabsorption of glucose (disorder),Prediabetic nonclinical diabetes",Impaired glucose tolerance
103,C0149756,"Plantar fasciitis,Plantar fasciitis,Plantar fasciitis (disorder),Policeman's heel",Plantar fasciitis
104,C0020557,"Hypertriglyceridaemia,Hypertriglyceridemia,Hypertriglyceridemia (disorder)",Hypertriglyceridemia
105,C0019360,"Herpes zoster,Herpes zoster (disorder),Herpes zoster infection,Shingles,Zona,Zoster,Zoster NOS,Zoster [herpes zoster],shingles,zona",Herpes zoster
106,C0018784,"Neurosensory deafness,PD - Perceptive deafness,Perceptive deafness,Perceptive hearing loss,Perceptive hearing loss NOS,SND - Sensorineural deafness,SNHL - Sensorineural hearing loss,Sensorineural deafness,Sensorineural deafness NOS,Sensorineural hearing loss,Sensorineural hearing loss (disorder),Sensory-neural deafness,Sensory-neural hearing loss,Unspecified sensorineural hearing loss",Sensorineural hearing loss
107,C0267596,"Bleeding per rectum,Blood per rectum,PR - Bleeding per rectum,PR - Blood per rectum,PRB - Rectal bleeding,Proctorrhagia,RB - Rectal bleeding,Rectal bleeding,Rectal haemorrhage,Rectal hemorrhage,Rectal hemorrhage (disorder),Rectorrhagia",Rectal hemorrhage
108,C0030920,"Gastroduodenal ulcer,PU - Peptic ulcer,PUD - Peptic ulcer disease,Peptic ulcer,Peptic ulcer (disorder),Peptic ulcer disease,Peptic ulcer, site unspecified,Peptic ulceration,gastroduodenal ulcer NOS,peptic ulcer NOS",Peptic ulcer
109,C0042133,"Fibroid uterus,Fibroid uterus,Fibroids,Fibroleiomyoma,Fibromyoma,Leiomyoma,Leiomyoma,Leiomyoma (disorder),Leiomyoma of body of uterus,Leiomyoma of uterus,Leiomyoma of uterus,Leiomyoma of uterus, unspecified,Leiomyoma, no ICD-O subtype,Leiomyoma, no International Classification of Diseases for Oncology subtype,Leiomyoma, no International Classification of Diseases for Oncology subtype (morphologic abnormality),Uterine fibroid,Uterine fibroids,Uterine fibroids,Uterine leiomyoma,Uterine leiomyoma (disorder),Uterine leiomyoma - fibroids,uterine fibroid,uterine fibromyoma,uterine myoma",Uterine leiomyoma
110,C0005586,"Bipolar affective disorder,Bipolar disorder,Bipolar disorder,Bipolar disorder (disorder),Bipolar disorder, unspecified,MDI - Manic-depressive illness,Manic depression,Manic-depressive illness,Manic-depressive psychosis,manic-depressive illness,manic-depressive reaction",Bipolar disorder
111,C0042870,"Avitaminosis D,Avitaminosis D,Vitamin D deficiency,Vitamin D deficiency,Vitamin D deficiency (disorder),Vitamin D deficiency, unspecified",Vitamin D deficiency
112,C0036689,"Septic pharyngitis,Septic sore throat,Strep throat,Strept throat,Streptococcal angina,Streptococcal pharyngitis,Streptococcal pharyngitis,Streptococcal sore throat,Streptococcal sore throat,Streptococcal sore throat (disorder)",Streptococcal sore throat
113,C0007787,"TIA,TIA,TIA - Transient ischaemic attack,Temporary cerebral vascular dysfunction,Transient cerebral ischaemia,Transient cerebral ischemia,Transient cerebral ischemic attack, unspecified,Transient ischaemic attack,Transient ischemic attack,Transient ischemic attack (disorder)",Transient ischemic attack
114,C0040261,"Fungal infection of nail,Onychomycosis,Onychomycosis,Onychomycosis (disorder),Ringworm of nail,Ringworm of nails,Tinea unguium",Onychomycosis
115,C0149871,"DVT - Deep vein thrombosis,DVT NOS,Deep vein thrombosis,Deep vein thrombosis NOS,Deep venous thrombosis,Deep venous thrombosis (disorder)",Deep venous thrombosis
116,C0033075,"Presbyopia,Presbyopia,Presbyopia (disorder)",Presbyopia
117,C0022353,"Icterus neonatorum,Neonatal jaundice,Neonatal jaundice (disorder),Neonatal jaundice, unspecified",Neonatal jaundice
118,C0085166,"BV - Bacterial vaginosis,Bacterial vaginitis,Bacterial vaginosis,Bacterial vaginosis (disorder),Nonspecific bacterial vaginosis",Bacterial vaginosis
119,C0021092,"Impacted cerumen,Impacted cerumen,Impacted cerumen (disorder),Impacted wax",Impacted cerumen
120,C0036396,"Neuralgia-neuritis of sciatic nerve,Sciatic neuralgia,Sciatica,Sciatica,Sciatica (disorder),Sciatica neuralgia,Sciatica, unspecified side",Sciatica
121,C0085649,"Edema of extremity,Edema of extremity (finding),Oedema of extremity,Peripheral edema,Peripheral edema,Peripheral edema (disorder),Peripheral edema (morphologic abnormality),Peripheral oedema,Peripheral oedema",Peripheral edema
122,C0042963,"Emesis,Finding of vomiting,Finding of vomiting (finding),Observation of vomiting,Vomiting,Vomiting,Vomiting (disorder),Vomiting NOS,Vomiting symptom,Vomiting symptom (finding),Vomiting, unspecified",Vomiting
123,C0341740,"Benign prostatic hypertrophy with outflow obstruction,Benign prostatic hypertrophy with outflow obstruction (disorder)",Benign prostatic hypertrophy with outflow obstruction
124,C0494290,"Type 2 diabetes mellitus without complication,Type 2 diabetes mellitus without complications,Type II diabetes mellitus without complication,Type II diabetes mellitus without complication (disorder)",Type II diabetes mellitus without complication
125,C0008350,"Biliary calculus,CL - Cholelithiasis,Calculus - biliary,Calculus in biliary tract,Calculus in biliary tract (disorder),Cholelithiasis,Cholelithiasis,Stone - biliary",Calculus in biliary tract
